collection,n_branches
EcalVeto_overlay,56
EcalPnetVeto_overlay,56
HcalVeto_overlay,28
trigScintDigisPad1_overlay,27
trigScintDigisPad2_overlay,27
trigScintDigisPad3_overlay,27
SimParticles_ecal_pn,25
PFTruth_overlay,25
HcalSimHits_ecal_pn,24
EcalSimHits_ecal_pn,24
TargetSimHits_ecal_pn,24
TriggerPad1SimHits_ecal_pn,24
TriggerPad2SimHits_ecal_pn,24
TriggerPad3SimHits_ecal_pn,24
EcalSimHitsOverlay_overlay,24
HcalSimHitsOverlay_overlay,24
TargetSimHitsOverlay_overlay,24
TriggerPad1SimHitsOverlay_overlay,24
TriggerPad2SimHitsOverlay_overlay,24
TriggerPad3SimHitsOverlay_overlay,24
HcalRecHits_overlay,23
EcalClusters_overlay,23
TriggerPadTracks_overlay,21
TriggerPadTracksY_overlay,21
TriggerPadTracksX_overlay,21
beamElectrons_overlay,20
TaggerTruthTracks_overlay,20
RecoilTruthTracks_overlay,20
TaggerTruthSeeds_overlay,20
RecoilTruthSeeds_overlay,20
TaggerRecoSeeds_overlay,20
RecoilRecoSeeds_overlay,20
TaggerTracks_overlay,20
RecoilTracks_overlay,20
TaggerTracksClean_overlay,20
RecoilTracksClean_overlay,20
GSFTaggerTracks_overlay,20
GSFRecoilTracks_overlay,20
EventHeader,17
TaggerSimHits_ecal_pn,16
RecoilSimHits_ecal_pn,16
EcalScoringPlaneHits_ecal_pn,16
HcalScoringPlaneHits_ecal_pn,16
TargetScoringPlaneHits_ecal_pn,16
TrigScintScoringPlaneHits_ecal_pn,16
TrackerScoringPlaneHits_ecal_pn,16
MagnetScoringPlaneHits_ecal_pn,16
EcalScoringPlaneHitsOverlay_overlay,16
RecoilSimHitsOverlay_overlay,16
TaggerSimHitsOverlay_overlay,16
PFTracks_overlay,16
PFTruthTarget_overlay,16
PFTruthEcal_overlay,16
PFTruthHcal_overlay,16
DigiTaggerSimHits_overlay,14
DigiRecoilSimHits_overlay,14
TriggerPad1Clusters_overlay,12
TriggerPad2Clusters_overlay,12
TriggerPad3Clusters_overlay,12
EcalRecHits_overlay,9
EcalTrajectoryInfo_overlay,8
EcalDigis_overlay,6
EcalMipInfo_overlay,6
HcalDigis_overlay,6
TrackerVeto_overlay,4
Trigger_overlay,4
